Buchungstag;Wert;Umsatzart;Begünstigter / Auftraggeber;Verwendungszweck;IBAN / Kontonummer;BIC;Kundenreferenz;Mandatsreferenz;Gläubiger ID;Fremde Gebühren;Betrag;Abweichender Empfänger;Anzahl der Aufträge;Anzahl der Schecks;Soll;Haben;Währung
07.07.2025;07.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Koffie henk, Ihr Einkauf bei Koffie henk;LU00FAKE0000123456X9;;;;;;-76,64;;;;-76,64;;EUR
02.07.2025;02.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
01.07.2025;01.07.2025;SEPA Lastschrift;VATTENFALL EUROPE SALES;Strom Abschlag;DE44500105175407324933;;;;;;-114;;;;-114;;EUR
27.06.2025;27.06.2025;Kartenzahlung;go asia sagt danke;go asia sagt danke//BIELEFELD/DE 26-06-2025T13:52:07 ;DE44500105175407324940;;;;;;-12,98;;;;-12,98;;EUR
25.06.2025;25.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-5,03;;;;-5,03;;EUR
25.06.2025;25.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Thalia Bucher GmbH, Ihr Einkauf bei Thalia Bucher GmbH;LU00FAKE0000123456X9;;;;;;-17,74;;;;-17,74;;EUR
24.06.2025;24.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-39,99;;;;-39,99;;EUR
24.06.2025;24.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Netflix.com, Ihr Einkauf bei Netflix.com;LU00FAKE0000123456X9;;;;;;-13,99;;;;-13,99;;EUR
20.06.2025;20.06.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone Rechnung Vodafone sagt Danke;DE44500105175407324932;;;;;;-35,99;;;;-35,99;;EUR
19.06.2025;19.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google, Ihr Einkauf bei Google;LU00FAKE0000123456X9;;;;;;-12,99;;;;-12,99;;EUR
17.06.2025;17.06.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone sagt Danke;DE44500105175407324932;;;;;;-43,98;;;;-43,98;;EUR
16.06.2025;16.06.2025;SEPA Lastschrift;CARE Deutschland e.V.;VIELEN DANK FUER DIE SPENDE AN CARE DEUTSCHLAND E.V.;DE44500105175407324935;;;;;;-20;;;;-20;;EUR
16.06.2025;16.06.2025;SEPA Lastschrift;Telefonica Germany GmbH + Co. OHG;Ihre Tarifrechnung;DE44500105175407324938;;;;;;-34,98;;;;-34,98;;EUR
16.06.2025;16.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
13.06.2025;13.06.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-43,7;;;;-43,7;;EUR
11.06.2025;11.06.2025;SEPA Überweisung;Studentenwerk Osnabruck;Rueckueberweisung CampusCard Kartennummer 12345678987654;DE44500105175407324937;;;;;;1,47;;;;;1,47;EUR
11.06.2025;11.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-29,99;;;;-29,99;;EUR
10.06.2025;10.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google Payment Ireland Ltd., Ihr Einkauf bei Google Payment Ireland Ltd.;LU00FAKE0000123456X9;;;;;;-2,99;;;;-2,99;;EUR
03.06.2025;03.06.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
02.06.2025;02.06.2025;Kartenzahlung;ROSSMANN;ROSSMANN//Bielefeld/DE 30-05-2025T15:58:48;DE44500105175407324936;;;;;;-2,28;;;;-2,28;;EUR
02.06.2025;02.06.2025;SEPA Lastschrift;VATTENFALL EUROPE SALES;Strom Abschlag;DE44500105175407324933;;;;;;-114;;;;-114;;EUR
